outcome,timepoint,condition,n_reported_in_text,change_score_reported_in_text
discomfort,baseline,distinction,18,
discomfort,baseline,hierarchy,18,
discomfort,postinduction,distinction,18,12.7
discomfort,postinduction,hierarchy,18,16.3
discomfort,postintervention,distinction,18,0.76
discomfort,postintervention,hierarchy,18,-7.57
anxiety,baseline,distinction,18,
anxiety,baseline,hierarchy,18,
anxiety,postinduction,distinction,18,8.06
anxiety,postinduction,hierarchy,18,13.57
anxiety,postintervention,distinction,18,-0.03
anxiety,postintervention,hierarchy,18,-3.86
stress,baseline,distinction,18,
stress,baseline,hierarchy,18,
stress,postinduction,distinction,18,7.43
stress,postinduction,hierarchy,18,9.48
stress,postintervention,distinction,18,4.71
stress,postintervention,hierarchy,18,-8.82
